id|nodes
12281303|[9021077061, 111316294, 9021077121, 111316298, 111316300, 7088597800, 111316302, 111316304, 7088597806, 111316306, 6025238017, 111316309, 6025238016, 6025238014, 6025238015, 111316320, 6025238011, 6025238012, 7132701799, 6025238010, 6025238013, 6025238006, 8193030156, 111316325, 111316326, 111316330, 6025238008, 6025238009, 6025238007, 1445887069, 111316336, 111316341, 111316343, 111316345, 111316347, 111316349, 111316353, 111316361, 111316367, 111316370, 111316371, 111316372, 111316373, 111316374, 111316379, 6979861295, 111316381, 111316385, 6025238000, 6025238004, 6025238002, 6025238003, 6025238001, 6025238005, 111316393, 6025237999, 6025237998, 6025237997, 111316394, 6025237994, 6025237995, 6025237996, 411845072, 937446938, 111316397]
12284489|[111340372, 111340375, 6025238812, 6025238813, 111340381, 111340390, 111340393, 111340396, 111340400, 111340402, 6025238804, 111340405, 111340412]
12284621|[111340396, 111341344, 111341349, 111341351, 2206005108, 111312576]
12288243|[111312585, 111373236, 111373239, 111373240, 111373243, 111373248, 111373251, 111373253, 111373256, 6025238808, 6025238805, 6025238809, 6025238807, 6025238806, 111373270, 111340412, 6025238810, 111373277, 111373281, 111373283, 111373285, 111373287, 111373290, 111373292, 111373293, 111373295, 111373299, 111373309]
12289151|[111340393, 111380545, 111380548, 111380550, 111380554, 111380557, 111380560, 111373309, 6025238863]
12290230|[111390335, 111390337, 111390340, 111390343, 111390345, 111390346, 111390349, 111390353, 111390355, 111390358, 111390362, 111390364]
12290857|[111396509, 111396513, 111396518, 111396521, 111396525, 2206005117, 111396528, 111390364, 111341344]
12304511|[111456610, 6023681645]
12307717|[1223903125, 1223903099, 1223903142, 111547340, 111547344]
12312574|[111316336, 111323988, 1599412679, 111589696]
12312590|[111316361, 111589855, 111589857, 111589860, 111589864, 111589867, 111589871, 111589875, 111323999]
12313427|[111390343, 111396509, 111596945, 111596947, 111596949, 111596952, 111596955, 111340390]
12313625|[111456596, 111598426, 111598429, 111598432, 111598437, 111598441, 111598442, 6023681646]
12320876|[6025238831, 111654166, 111654168, 111654170, 111654174, 111654176, 111654179, 111654183, 111654188, 111654191, 111654196, 111380560, 111622783]
80319149|[937446944, 937446945, 937446946, 937446947, 937446948, 1223887138, 937446950, 937446951, 1223887126, 937446952, 937446953, 937446954, 1223887143, 937446955, 1223887148, 937446956, 1223887149, 937446957, 1223887134, 937446959, 937446960, 937446961, 937446962, 937446963, 1223887135, 937446964, 1223887130, 937446965, 6023681613, 6023681612, 937446966, 6023681615, 937446968, 6023681614, 937446969, 6023681618, 6023681617, 6023681616, 937446970, 937446971, 937446972, 937446974, 937446975, 1223887150, 1223887127, 1223887137, 937446976, 937446977, 1223887131, 937446978, 937446979, 937446980, 937446981, 937446982, 1223887145, 937446983, 937446984, 1223887146, 937446985, 1223887151, 937446987, 937446988, 1223887136, 937446989, 937446990, 937446991, 1223887141, 937446993, 937446994, 1223887140, 937446995, 937446996, 1223887132, 937446997, 1223887128, 937446998, 1223887139, 937447000, 937447001, 937447003, 1223887142, 937447004, 1223887147, 937447005, 937447006, 937447007, 937447008, 937447009, 1223887133, 937447010, 937446944]
81519763|[111407384, 111407387, 7161644678, 7517902579, 111407391, 8310348752, 111407394, 111407396, 111407400, 111407403, 111407406, 111407408, 111407410, 111407412, 7272126404, 111407415, 7249743644, 111407419, 7272126398, 111407422, 111407426, 111407429, 111407432, 111407435, 111407438, 7272126395, 111407441, 1635410941, 1635410942, 7272107475, 1635410958, 7272107483, 1635410967, 7272107469, 7272107484, 7272126392, 1635410943, 111407444]
